,Show,Date,Doors,Location,Address,Link
135,Ibeyi,"Tue, October 04, 2022 at 08:00 PM",07:00 PM,Union Transfer,"1026 Spring Garden Street, Philadelphia, PA 19123",https://www.bowerypresents.com/greater-philly/shows/detail/430629-ibeyi
136,Wild Rivers,"Wed, October 05, 2022 at 08:00 PM",07:00 PM,Union Transfer,"1026 Spring Garden Street, Philadelphia, PA 19123",https://www.bowerypresents.com/greater-philly/shows/detail/433117-wild-rivers
137,Trace Adkins,"Thu, October 06, 2022 at 08:00 PM",07:00 PM,Keswick Theatre,"291 N Keswick Ave, Glenside, PA 19038",https://www.bowerypresents.com/greater-philly/shows/detail/435848-trace-adkins
138,Full of Hell + Blood Incantation,"Fri, October 07, 2022 at 07:00 PM",06:00 PM,Underground Arts,"1200 Callowhill Street, Philadelphia, PA 19108",https://www.bowerypresents.com/greater-philly/shows/detail/433085-full-of-hell-blood-incantation
139,Stereolab,"Fri, October 07, 2022 at 08:30 PM",07:30 PM,Franklin Music Hall,"421 N. 7th Street, Philadelphia, PA 19123",https://www.bowerypresents.com/greater-philly/shows/detail/427530-stereolab
140,The Garden,"Sat, October 08, 2022 at 08:00 PM",07:00 PM,Union Transfer,"1026 Spring Garden Street, Philadelphia, PA 19123",https://www.bowerypresents.com/greater-philly/shows/detail/435771-the-garden
141,Sunset Rollercoaster,"Sun, October 09, 2022 at 07:30 PM",06:30 PM,Underground Arts,"1200 Callowhill Street, Philadelphia, PA 19108",https://www.bowerypresents.com/greater-philly/shows/detail/432475-sunset-rollercoaster
142,L7,"Mon, October 10, 2022 at 08:00 PM",07:00 PM,Union Transfer,"1026 Spring Garden Street, Philadelphia, PA 19123",https://www.bowerypresents.com/greater-philly/shows/detail/431610-l7
143,Broken Social Scene,"Wed, October 12, 2022 at 08:00 PM",07:00 PM,Union Transfer,"1026 Spring Garden Street, Philadelphia, PA 19123",https://www.bowerypresents.com/greater-philly/shows/detail/433118-broken-social-scene
144,House of Love,"Thu, October 13, 2022 at 08:00 PM",07:00 PM,Underground Arts,"1200 Callowhill Street, Philadelphia, PA 19108",https://www.bowerypresents.com/greater-philly/shows/detail/430411-house-of-love
145,The Knocks x Cannons,"Fri, October 14, 2022 at 08:00 PM",07:00 PM,Union Transfer,"1026 Spring Garden Street, Philadelphia, PA 19123",https://www.bowerypresents.com/greater-philly/shows/detail/433965-the-knocks-x-cannons
146,Mondo Cozmo,"Fri, October 14, 2022 at 09:00 PM",08:00 PM,Underground Arts,"1200 Callowhill Street, Philadelphia, PA 19108",https://www.bowerypresents.com/greater-philly/shows/detail/434939-mondo-cozmo
147,Spacey Jane,"Sat, October 15, 2022 at 08:00 PM",07:00 PM,Union Transfer,"1026 Spring Garden Street, Philadelphia, PA 19123",https://www.bowerypresents.com/greater-philly/shows/detail/423642-spacey-jane
148,The Man In Black: A Tribute to Johnny Cash,"Sat, October 15, 2022 at 08:00 PM",07:00 PM,Keswick Theatre,"291 N Keswick Ave, Glenside, PA 19038",https://www.bowerypresents.com/greater-philly/shows/detail/434436-the-man-in-black-a-tribute-to-johnny-cash
149,Mannequin Pussy,"Sat, October 15, 2022 at 08:30 PM",07:30 PM,Underground Arts,"1200 Callowhill Street, Philadelphia, PA 19108",https://www.bowerypresents.com/greater-philly/shows/detail/436460-mannequin-pussy
150,Yard Act,"Sun, October 16, 2022 at 08:30 PM",07:30 PM,Underground Arts,"1200 Callowhill Street, Philadelphia, PA 19108",https://www.bowerypresents.com/greater-philly/shows/detail/435072-yard-act
151,The Black Angels,"Tue, October 18, 2022 at 08:00 PM",07:00 PM,Union Transfer,"1026 Spring Garden Street, Philadelphia, PA 19123",https://www.bowerypresents.com/greater-philly/shows/detail/410854-the-black-angels
152,Renaissance,"Fri, October 21, 2022 at 08:00 PM",07:00 PM,Keswick Theatre,"291 N Keswick Ave, Glenside, PA 19038",https://www.bowerypresents.com/greater-philly/shows/detail/430774-renaissance
153,FKJ,"Fri, October 21, 2022 at 08:30 PM",07:30 PM,Franklin Music Hall,"421 N. 7th Street, Philadelphia, PA 19123",https://www.bowerypresents.com/greater-philly/shows/detail/436437-fkj
154,Psychedelic Porn Crumpets,"Fri, October 21, 2022 at 09:00 PM",08:00 PM,Underground Arts,"1200 Callowhill Street, Philadelphia, PA 19108",https://www.bowerypresents.com/greater-philly/shows/detail/429309-psychedelic-porn-crumpets
155,Algernon Cadwallader,"Sat, October 22, 2022 at 08:00 PM",07:00 PM,Union Transfer,"1026 Spring Garden Street, Philadelphia, PA 19123",https://www.bowerypresents.com/greater-philly/shows/detail/436639-algernon-cadwallader
156,Almost Queen,"Sat, October 22, 2022 at 08:00 PM",07:00 PM,Keswick Theatre,"291 N Keswick Ave, Glenside, PA 19038",https://www.bowerypresents.com/greater-philly/shows/detail/436684-almost-queen
157,King Gizzard and the Lizard Wizard,"Sat, October 22, 2022 at 08:30 PM",07:30 PM,Franklin Music Hall,"421 N. 7th Street, Philadelphia, PA 19123",https://www.bowerypresents.com/greater-philly/shows/detail/388944-king-gizzard-and-the-lizard-wizard
158,Michael Schenker,"Tue, October 25, 2022 at 07:30 PM",06:30 PM,Keswick Theatre,"291 N Keswick Ave, Glenside, PA 19038",https://www.bowerypresents.com/greater-philly/shows/detail/428732-michael-schenker
159,Steve Vai,"Fri, October 28, 2022 at 08:00 PM",07:00 PM,Keswick Theatre,"291 N Keswick Ave, Glenside, PA 19038",https://www.bowerypresents.com/greater-philly/shows/detail/412180-steve-vai
160,The Record Company,"Fri, October 28, 2022 at 08:00 PM",07:00 PM,Union Transfer,"1026 Spring Garden Street, Philadelphia, PA 19123",https://www.bowerypresents.com/greater-philly/shows/detail/433972-the-record-company
